departamento,provincia,total_emergencias,personas_afectadas,personas_damnificadas,personas_fallecidas,cultivo_ha_afectadas,cultivo_ha_perdidas,viviendas_afectadas,viviendas_destruidas,emergencias_hidromet,peligro_bajas_temperaturas,peligro_erosion,peligro_huayco,peligro_inundacion,peligro_lluvia_intensa,peligro_marejada,peligro_sequia,peligro_tormenta_electrica,peligro_vientos_fuertes,magnitud_impacto
ANCASH,HUARMEY,109.0,20102.0,5941.0,12.0,192.23000000000002,430.66,4353.0,575.0,60,1,0,21,5,26,1,0,0,6,84.41
ANCASH,HUAYLAS,223.0,7000.0,562.0,17.0,264.59,67.195,1175.0,152.0,154,5,5,22,3,106,0,5,0,8,161.67
ANCASH,MARISCAL LUZURIAGA,193.0,4327.0,1440.0,1.0,791.3999999999999,396.484,941.0,86.0,140,11,5,9,6,83,0,1,2,23,148.29
ANCASH,OCROS,104.0,5548.0,1262.0,3.0,989.02,261.34000000000003,1991.0,339.0,94,3,1,7,7,72,0,2,0,2,102.16
ANCASH,PALLASCA,200.0,12202.0,1535.0,13.0,522.175,96.96,3322.0,221.0,134,3,7,5,1,100,0,4,0,14,147.17
ANCASH,POMABAMBA,166.0,3980.0,1871.0,5.0,3212.395,1944.9749999999995,728.0,444.0,119,11,6,6,2,77,0,3,3,11,142.43
ANCASH,RECUAY,224.0,8766.0,1170.0,3.0,365.03,120.0,1957.0,288.0,170,19,0,6,3,126,0,2,0,14,179.97
ANCASH,SANTA,303.0,51964.0,15170.0,18.0,5905.523,2524.2430000000004,15412.0,3523.0,111,0,2,24,14,61,7,0,0,3,188.21
ANCASH,SIHUAS,173.0,6794.0,377.0,4.0,720.89,264.15999999999997,1344.0,103.0,122,8,8,10,3,79,0,2,0,12,131.44
ANCASH,YUNGAY,328.0,14225.0,4059.0,6.0,629.9159999999998,184.14300000000003,1773.0,659.0,217,6,8,18,13,148,0,0,2,22,233.07
APURIMAC,ABANCAY,2550.0,425655.0,8198.0,50.0,20710.039999999975,5582.446000000004,8049.0,1116.0,1773,277,53,30,80,920,0,61,15,337,2254.48
APURIMAC,ANDAHUAYLAS,2547.0,747657.0,24573.0,31.0,45428.638,10879.18,9171.0,1291.0,2081,517,10,10,84,745,0,108,13,594,2937.45
APURIMAC,ANTABAMBA,1083.0,253764.0,2501.0,7.0,6400.938999999999,3580.692,2918.0,331.0,915,241,15,8,5,322,0,55,25,244,1204.57
APURIMAC,AYMARAES,1429.0,346414.0,10291.0,32.0,20090.027000000013,7203.255000000001,5524.0,498.0,1238,400,8,25,19,501,0,99,20,166,1656.45
APURIMAC,CHINCHEROS,2173.0,309465.0,6945.0,18.0,16596.323999999982,4485.175000000002,4118.0,1105.0,1640,242,58,32,40,609,0,51,9,599,1994.32
APURIMAC,COTABAMBAS,1618.0,331877.0,4637.0,14.0,24146.815,6199.669,3261.0,971.0,1224,326,46,8,26,442,0,38,38,300,1617.87
APURIMAC,GRAU,1607.0,306266.0,10905.0,9.0,10875.449000000004,1860.1799999999998,2080.0,741.0,1291,372,25,16,34,459,0,91,14,280,1615.87
AREQUIPA,CAMANA,180.0,49019.0,6061.0,18.0,5079.849999999999,1002.21,6847.0,1473.0,156,11,2,6,67,59,5,0,0,6,215.04
AREQUIPA,CARAVELI,266.0,60284.0,7552.0,7.0,2786.29,5077.869999999998,9940.0,820.0,187,31,0,16,19,98,4,10,0,9,298.06
AREQUIPA,CASTILLA,494.0,106005.0,3896.0,3.0,10490.809999999998,3609.92,15201.0,684.0,422,125,1,22,42,201,0,0,1,30,564.1
AREQUIPA,CAYLLOMA,1240.0,341394.0,18516.0,17.0,136934.61999999994,3544.83,46198.0,2065.0,1034,469,1,40,12,405,0,14,13,80,1410.84
AREQUIPA,CONDESUYOS,484.0,135473.0,3029.0,5.0,3032.5399999999995,1113.0250000000003,30716.0,889.0,405,135,1,16,16,201,0,0,8,28,551.6
AREQUIPA,ISLAY,78.0,6097.0,134.0,1.0,1822.06,115.0,333.0,42.0,43,7,0,2,12,14,5,0,0,3,50.25
AREQUIPA,LA UNION,522.0,97253.0,3425.0,7.0,3435.9699999999993,359.00000000000017,11545.0,641.0,440,132,0,29,13,243,0,2,1,20,540.84
AYACUCHO,CANGALLO,858.0,74898.0,4806.0,11.0,40481.55999999999,21332.61999999999,4753.0,1231.0,650,122,6,10,22,268,0,48,2,172,938.22
AYACUCHO,HUAMANGA,1910.0,151814.0,17120.0,38.0,102193.63000000003,23883.915,7939.0,2909.0,1454,191,26,16,69,758,0,64,4,326,1844.65
AYACUCHO,HUANCA SANCOS,241.0,33408.0,794.0,5.0,2504.9459999999995,1095.3459999999998,1073.0,211.0,214,53,3,2,4,114,0,22,7,9,258.36
AYACUCHO,HUANTA,1135.0,69461.0,9034.0,14.0,20342.301,6966.221999999999,5622.0,2351.0,840,79,8,26,62,456,0,49,0,160,979.12
AYACUCHO,LA MAR,1524.0,47287.0,8103.0,9.0,47217.26500000003,9395.434999999994,4262.0,1943.0,1074,85,9,38,79,651,0,49,0,163,1215.24
AYACUCHO,LUCANAS,940.0,109036.0,5027.0,9.0,42027.037999999986,11260.274000000003,9315.0,930.0,842,152,8,38,10,514,0,83,1,36,1063.64
AYACUCHO,PARINACOCHAS,502.0,69881.0,4241.0,1.0,13870.020000000006,7147.729999999999,7857.0,636.0,454,138,1,11,7,206,0,44,2,45,595.36
AYACUCHO,PAUCAR DEL SARA SARA,612.0,46028.0,3793.0,18.0,12504.928,2367.8789999999995,8275.0,1050.0,565,102,2,21,4,359,0,57,1,19,634.71
AYACUCHO,SUCRE,516.0,36350.0,2035.0,8.0,11842.074999999999,2844.691,2234.0,568.0,451,116,1,20,13,195,0,54,2,50,515.8
AYACUCHO,VICTOR FAJARDO,594.0,42669.0,2690.0,3.0,33421.311999999976,2484.2560000000003,2916.0,628.0,492,121,7,7,14,229,0,48,2,64,559.51
AYACUCHO,VILCAS HUAMAN,618.0,50909.0,4799.0,5.0,13182.291999999996,6732.075000000001,4570.0,1070.0,507,93,7,10,6,266,0,39,2,84,625.23
CAJAMARCA,CAJABAMBA,199.0,3726.0,1428.0,5.0,632.4610000000001,455.07499999999993,986.0,328.0,147,5,2,2,27,91,0,0,2,18,155.28
CAJAMARCA,CELENDIN,679.0,23086.0,3650.0,1.0,5082.211999999999,3728.6339999999996,3580.0,564.0,554,32,4,11,18,337,0,1,0,151,614.37
CAJAMARCA,CHOTA,705.0,24426.0,5891.0,15.0,5027.01,2367.22,4389.0,1017.0,541,26,13,9,22,397,0,2,1,71,589.1
CAJAMARCA,CONTUMAZA,375.0,22738.0,1051.0,5.0,1380.5819999999997,3019.5099999999998,2838.0,327.0,335,1,3,5,7,268,0,1,0,50,387.93
CAJAMARCA,CUTERVO,916.0,21338.0,8007.0,34.0,5563.05,1753.75,3314.0,1560.0,637,8,8,11,23,425,0,16,0,146,675.88
CAJAMARCA,HUALGAYOC,267.0,5295.0,1451.0,5.0,35562.5,22142.0,2148.0,384.0,204,10,2,0,17,100,0,0,0,75,430.72
