DEPARTAMENTO,PROVINCIA,ANIO,MES,ALLSKY_SFC_SW_DWN,PRECTOTCORR,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M
AMAZONAS,UTCUBAMBA,2024,4,14.36,0.49,12.5,74.73,19.08,28.78,13.53,1.86
AMAZONAS,UTCUBAMBA,2024,5,14.37,0.38,11.86,70.66,19.46,28.95,11.46,2.05
AMAZONAS,UTCUBAMBA,2024,6,14.72,0.27,10.71,68.3,18.51,29.64,9.4,2.05
AMAZONAS,UTCUBAMBA,2024,7,13.7,0.23,10.14,67.55,17.94,28.46,8.71,2.59
AMAZONAS,UTCUBAMBA,2024,8,16.03,0.18,10.29,65.19,18.73,29.45,9.95,2.4
AMAZONAS,UTCUBAMBA,2024,9,15.39,0.37,10.38,63.3,19.52,30.29,10.52,2.44
AMAZONAS,UTCUBAMBA,2024,10,17.56,1.13,11.19,67.21,19.3,29.6,11.3,2.07
AMAZONAS,UTCUBAMBA,2024,11,17.17,0.71,10.51,65.84,18.54,29.55,10.95,1.82
AMAZONAS,UTCUBAMBA,2024,12,15.24,0.65,11.89,73.02,18.71,28.92,12.7,1.98
AMAZONAS,UTCUBAMBA,2025,1,14.47,1.14,11.45,74.2,17.79,27.33,11.12,1.98
AMAZONAS,UTCUBAMBA,2025,2,14.0,1.37,12.2,77.84,17.9,26.78,12.69,1.84
AMAZONAS,UTCUBAMBA,2025,3,13.73,1.42,11.99,78.33,17.51,26.44,11.57,1.72
AMAZONAS,UTCUBAMBA,2025,4,15.38,1.29,11.98,77.4,17.79,27.13,12.04,1.71
AMAZONAS,UTCUBAMBA,2025,5,13.95,0.6,11.15,73.19,17.86,27.69,10.41,2.11
AMAZONAS,UTCUBAMBA,2025,6,13.04,1.42,10.74,74.86,16.86,26.81,7.98,2.07
AMAZONAS,UTCUBAMBA,2025,7,14.21,0.09,9.4,67.78,16.77,27.59,6.16,2.64
AMAZONAS,UTCUBAMBA,2025,8,15.08,0.09,10.23,66.95,18.15,29.07,9.22,2.45
AMAZONAS,UTCUBAMBA,2025,9,14.92,0.32,10.65,68.21,18.38,28.83,9.84,2.44
AMAZONAS,UTCUBAMBA,2025,10,17.09,3.7,11.74,77.02,17.56,28.18,10.95,1.81
AMAZONAS,UTCUBAMBA,2025,11,15.65,4.65,12.55,82.41,17.23,25.38,11.21,1.54
AMAZONAS,UTCUBAMBA,2025,12,15.65,0.38,10.55,69.34,17.78,27.49,8.89,1.86
ANCASH,CASMA,2021,1,22.82,0.2,11.41,68.45,20.49,28.18,15.04,1.94
ANCASH,CASMA,2021,2,23.41,0.01,11.27,64.19,21.44,30.07,14.99,1.99
ANCASH,CASMA,2021,3,22.51,0.22,11.79,69.07,20.84,28.14,16.33,1.96
ANCASH,CASMA,2021,4,20.01,0.09,10.64,63.41,20.8,29.04,13.75,2.33
ANCASH,CASMA,2021,5,15.3,0.01,9.53,60.18,20.08,29.27,14.35,2.32
ANCASH,CASMA,2021,6,11.72,0.03,9.37,61.86,19.31,28.58,13.41,2.26
ANCASH,CASMA,2021,7,12.5,0.01,8.66,56.26,19.75,30.84,13.69,2.35
ANCASH,CASMA,2021,8,13.65,0.03,8.42,53.51,20.1,30.49,13.3,2.54
ANCASH,CASMA,2021,9,15.75,0.01,8.58,52.28,20.67,30.27,14.45,2.75
ANCASH,CASMA,2021,10,20.13,0.03,8.83,53.36,20.66,29.64,13.09,2.77
ANCASH,CASMA,2021,11,21.52,0.09,9.36,61.14,19.31,28.41,13.24,2.59
ANCASH,CASMA,2021,12,23.7,0.16,10.23,63.82,19.97,29.25,13.16,2.44
ANCASH,CASMA,2022,1,22.34,0.07,11.44,70.48,20.14,31.0,14.14,2.45
ANCASH,CASMA,2022,2,20.7,0.13,11.43,70.71,19.99,27.36,14.59,2.33
ANCASH,CASMA,2022,3,21.66,0.13,11.6,69.22,20.56,27.84,15.56,2.1
