fecha_evento,departamento,provincia,produccion_t,precio_chacra_kg
2021-05,UCAYALI,CORONEL PORTILLO,921.8100000000001,0.6
2021-05,UCAYALI,PADRE ABAD,648.28,0.59
2021-05,UCAYALI,PURUS,29.34,0.7
2021-06,AMAZONAS,BAGUA,34.8,1.5
2021-06,AMAZONAS,CHACHAPOYAS,23.03,2.75
2021-06,AMAZONAS,LUYA,26.7,1.39
2021-06,AMAZONAS,UTCUBAMBA,538.9,0.92
2021-06,ANCASH,CARHUAZ,4.0,2.6
2021-06,ANCASH,CASMA,43.0,1.67
2021-06,ANCASH,HUARMEY,8.0,1.75
2021-06,ANCASH,HUAYLAS,18.0,1.72
2021-06,ANCASH,SANTA,20.0,1.6
2021-06,ANCASH,YUNGAY,7.0,1.7
2021-06,APURIMAC,ABANCAY,8.0,0.85
2021-06,APURIMAC,AYMARAES,1.8,0.85
2021-06,AREQUIPA,CARAVELI,9.31,1.5
2021-06,AYACUCHO,HUAMANGA,6.0,1.8
2021-06,AYACUCHO,HUANTA,23.0,1.84
2021-06,AYACUCHO,LA MAR,24.0,2.56
2021-06,AYACUCHO,LUCANAS,12.0,1.75
2021-06,AYACUCHO,PARINACOCHAS,4.0,1.35
2021-06,AYACUCHO,PAUCAR DEL SARA SARA,24.0,2.2
2021-06,AYACUCHO,VILCAS HUAMAN,20.0,1.5
2021-06,CAJAMARCA,CAJABAMBA,5.36,1.27
2021-06,CAJAMARCA,CHOTA,40.5,1.0
2021-06,CAJAMARCA,JAEN,28.71,0.83
2021-06,CAJAMARCA,SAN IGNACIO,25.71,1.08
2021-06,CAJAMARCA,SAN MARCOS,1.6,1.6
2021-06,CAJAMARCA,SAN MIGUEL,22.0,1.2
2021-06,CAJAMARCA,SANTA CRUZ,4.0,1.2
2021-06,CUSCO,LA CONVENCION,52.5,1.2
2021-06,HUANCAVELICA,ACOBAMBA,4.3,1.18
2021-06,HUANCAVELICA,ANGARAES,3.45,1.17
2021-06,HUANCAVELICA,CASTROVIRREYNA,0.45,3.0
2021-06,HUANCAVELICA,CHURCAMPA,13.200000000000001,1.01
2021-06,HUANCAVELICA,HUAYTARA,2.5,2.0
2021-06,HUANCAVELICA,TAYACAJA,23.8,1.08
2021-06,HUANUCO,HUAMALIES,23.0,1.0
