fecha_evento,departamento,provincia,produccion_t,cosecha_ha,precio_chacra_kg
2021-04,AYACUCHO,VILCAS HUAMAN,14.0,0.0,1.5350000000000001
2021-04,CAJAMARCA,CAJABAMBA,5.35,0.0,1.275
2021-04,CAJAMARCA,CHOTA,31.0,0.0,0.9875
2021-04,CAJAMARCA,CUTERVO,4.0,0.0,1.0
2021-04,CAJAMARCA,JAEN,37.72,0.0,0.8211111111111111
2021-04,CAJAMARCA,SAN IGNACIO,18.66,0.0,0.8075
2021-04,CAJAMARCA,SAN MARCOS,4.15,0.0,1.75
2021-04,CAJAMARCA,SAN MIGUEL,10.0,0.0,2.0
2021-04,CAJAMARCA,SANTA CRUZ,4.0,0.0,1.2
2021-04,HUANCAVELICA,ACOBAMBA,6.6,0.0,1.0750000000000002
2021-04,HUANCAVELICA,ANGARAES,4.75,0.0,1.2633333333333334
2021-04,HUANCAVELICA,CHURCAMPA,7.4,0.0,1.2333333333333334
2021-04,HUANCAVELICA,HUAYTARA,2.7,0.0,1.5
2021-04,HUANCAVELICA,TAYACAJA,22.5,0.0,1.0875
2021-04,HUANUCO,HUAMALIES,19.0,0.0,1.1
2021-04,HUANUCO,HUANUCO,6.6,0.0,1.0
2021-04,HUANUCO,LEONCIO PRADO,101.0,0.0,1.006
2021-04,HUANUCO,MARAÑON,8.0,0.0,0.9033333333333333
2021-04,HUANUCO,PUERTO INCA,2.0,0.0,1.85
2021-04,ICA,ICA,1.9,0.0,1.3
2021-04,JUNIN,CHANCHAMAYO,73.05,0.0,0.80625
2021-04,JUNIN,HUANCAYO,13.6,0.0,0.9
2021-04,JUNIN,SATIPO,179.4,0.0,0.6318181818181818
2021-04,LA LIBERTAD,ASCOPE,2.4,0.0,1.1
2021-04,LA LIBERTAD,BOLIVAR,5.73,0.0,1.0925
2021-04,LA LIBERTAD,CHEPEN,13.4,0.0,1.1
2021-04,LA LIBERTAD,GRAN CHIMU,3.8,0.0,0.9
2021-04,LA LIBERTAD,PATAZ,9.879999999999999,0.0,0.9277777777777777
2021-04,LA LIBERTAD,SANCHEZ CARRION,6.12,0.0,0.8975
2021-04,LA LIBERTAD,VIRU,0.69,0.0,1.09
2021-04,LAMBAYEQUE,FERREÑAFE,14.0,0.0,0.375
2021-04,LAMBAYEQUE,LAMBAYEQUE,22.0,0.0,0.45
2021-04,LORETO,ALTO AMAZONAS,33.0,0.0,0.7925
2021-04,LORETO,DATEM DEL MARAÑON,32.0,0.0,0.914
2021-04,LORETO,LORETO,24.0,0.0,0.955
2021-04,LORETO,MARISCAL RAMON CASTILLA,42.0,0.0,0.9166666666666666
2021-04,LORETO,MAYNAS,117.0,0.0,0.7622222222222222
2021-04,LORETO,PUTUMAYO,13.0,0.0,0.91
2021-04,LORETO,REQUENA,44.0,0.0,0.834
2021-04,LORETO,UCAYALI,59.0,0.0,0.958
2021-04,MADRE DE DIOS,MANU,14.5,0.0,1.35
2021-04,MADRE DE DIOS,TAHUAMANU,9.5,0.0,1.3333333333333333
2021-04,MADRE DE DIOS,TAMBOPATA,39.4,0.0,1.4
2021-04,MOQUEGUA,GENERAL SANCHEZ CERRO,5.38,0.0,2.3
2021-04,PASCO,OXAPAMPA,20.0,0.0,2.0
2021-04,PIURA,AYABACA,24.0,0.0,0.54
2021-04,PIURA,HUANCABAMBA,10.0,0.0,0.8000000000000002
2021-04,PIURA,MORROPON,37.0,0.0,0.9333333333333332
2021-04,PIURA,PAITA,6.0,0.0,0.8
2021-04,PIURA,PIURA,45.0,0.0,1.0
2021-04,PIURA,SECHURA,5.0,0.0,1.0
2021-04,PIURA,SULLANA,31.0,0.0,0.8
2021-04,PUNO,SANDIA,2.0,0.0,1.0
2021-04,SAN MARTIN,BELLAVISTA,26.5,0.0,1.3
2021-04,SAN MARTIN,EL DORADO,15.0,0.0,0.86
2021-04,SAN MARTIN,HUALLAGA,59.0,0.0,1.45
2021-04,SAN MARTIN,LAMAS,64.0,0.0,1.44
2021-04,SAN MARTIN,MARISCAL CACERES,23.8,0.0,1.23
2021-04,SAN MARTIN,MOYOBAMBA,78.0,0.0,0.9033333333333333
2021-04,SAN MARTIN,PICOTA,108.0,0.0,1.1555555555555557
2021-04,SAN MARTIN,RIOJA,34.0,0.0,0.5
2021-04,SAN MARTIN,SAN MARTIN,153.5,0.0,1.2916666666666667
2021-04,SAN MARTIN,TOCACHE,15.0,0.0,0.7333333333333334
2021-04,TUMBES,CONTRALMIRANTE VILLAR,14.5,0.0,0.88
2021-04,TUMBES,TUMBES,41.91,0.0,1.175
2021-04,UCAYALI,ATALAYA,62.2,0.0,0.5900000000000001
2021-05,AMAZONAS,BAGUA,34.25,0.0,1.4166666666666667
2021-05,AMAZONAS,CHACHAPOYAS,24.04,0.0,1.575
2021-05,AMAZONAS,LUYA,28.82,0.0,1.3833333333333335
2021-05,AMAZONAS,UTCUBAMBA,70.0,0.0,0.95
2021-05,ANCASH,CARHUAZ,4.0,0.0,2.5
2021-05,ANCASH,CASMA,49.0,0.0,1.825
2021-05,ANCASH,HUARMEY,9.0,0.0,1.8
2021-05,ANCASH,HUAYLAS,19.0,0.0,1.8
2021-05,ANCASH,SANTA,21.0,0.0,1.675
2021-05,ANCASH,YUNGAY,8.0,0.0,1.8
2021-05,APURIMAC,ABANCAY,25.0,0.0,1.0999999999999999
2021-05,APURIMAC,AYMARAES,1.9,0.0,0.675
2021-05,APURIMAC,GRAU,2.0,0.0,1.3
2021-05,AYACUCHO,HUAMANGA,5.0,0.0,1.56
2021-05,AYACUCHO,HUANTA,30.0,0.0,1.86
2021-05,AYACUCHO,LA MAR,16.0,0.0,1.675
2021-05,AYACUCHO,LUCANAS,14.0,0.0,1.7600000000000002
2021-05,AYACUCHO,PARINACOCHAS,3.0,0.0,1.35
2021-05,AYACUCHO,PAUCAR DEL SARA SARA,10.0,0.0,2.25
2021-05,AYACUCHO,SUCRE,7.0,0.0,2.1666666666666665
2021-05,AYACUCHO,VILCAS HUAMAN,18.0,0.0,1.5379999999999998
2021-05,CAJAMARCA,CAJABAMBA,5.4,0.0,1.275
2021-05,CAJAMARCA,CHOTA,34.0,0.0,0.975
2021-05,CAJAMARCA,CUTERVO,4.0,0.0,1.0
2021-05,CAJAMARCA,JAEN,36.54,0.0,0.8277777777777778
2021-05,CAJAMARCA,SAN IGNACIO,25.77,0.0,0.8975
2021-05,CAJAMARCA,SAN MARCOS,4.13,0.0,1.4
2021-05,CAJAMARCA,SAN MIGUEL,15.0,0.0,2.0
2021-05,CAJAMARCA,SANTA CRUZ,11.0,0.0,1.1
2021-05,HUANCAVELICA,ACOBAMBA,6.6,0.0,1.025
2021-05,HUANCAVELICA,ANGARAES,6.35,0.0,1.1333333333333335
2021-05,HUANCAVELICA,CHURCAMPA,12.8,0.0,1.0
2021-05,HUANCAVELICA,HUAYTARA,5.0,0.0,2.0
2021-05,HUANCAVELICA,TAYACAJA,37.0,0.0,1.05
2021-05,HUANUCO,HUAMALIES,19.4,0.0,1.2
2021-05,HUANUCO,HUANUCO,8.9,0.0,0.89
2021-05,HUANUCO,LEONCIO PRADO,122.9,0.0,1.0859999999999999
2021-05,HUANUCO,MARAÑON,13.299999999999999,0.0,0.91
2021-05,HUANUCO,PUERTO INCA,1.4,0.0,1.8
2021-05,ICA,ICA,23.3,0.0,1.3666666666666665
2021-05,ICA,PISCO,10.0,0.0,1.2
2021-05,JUNIN,CHANCHAMAYO,86.05,0.0,0.75
2021-05,JUNIN,HUANCAYO,13.6,0.0,1.2
2021-05,JUNIN,SATIPO,172.9,0.0,0.5681818181818182
2021-05,LA LIBERTAD,ASCOPE,2.45,0.0,1.0
2021-05,LA LIBERTAD,BOLIVAR,4.57,0.0,1.0225
2021-05,LA LIBERTAD,CHEPEN,13.9,0.0,1.1
2021-05,LA LIBERTAD,GRAN CHIMU,2.08,0.0,1.045
2021-05,LA LIBERTAD,OTUZCO,0.65,0.0,1.0
2021-05,LA LIBERTAD,PATAZ,11.1,0.0,0.8949999999999999
2021-05,LA LIBERTAD,SANCHEZ CARRION,3.44,0.0,0.8925000000000001
2021-05,LA LIBERTAD,VIRU,0.69,0.0,1.0
2021-05,LAMBAYEQUE,FERREÑAFE,22.0,0.0,0.5499999999999999
2021-05,LAMBAYEQUE,LAMBAYEQUE,12.0,0.0,0.45
2021-05,LORETO,ALTO AMAZONAS,31.0,0.0,0.94
2021-05,LORETO,DATEM DEL MARAÑON,31.0,0.0,0.9175
2021-05,LORETO,LORETO,61.0,0.0,0.924
2021-05,LORETO,MARISCAL RAMON CASTILLA,39.0,0.0,0.9233333333333333
2021-05,LORETO,MAYNAS,132.0,0.0,0.9342857142857143
2021-05,LORETO,PUTUMAYO,15.0,0.0,0.91
2021-05,LORETO,REQUENA,47.0,0.0,0.8220000000000001
2021-05,LORETO,UCAYALI,48.0,0.0,0.954
2021-05,MADRE DE DIOS,MANU,18.7,0.0,1.475
2021-05,MADRE DE DIOS,TAHUAMANU,10.1,0.0,1.5666666666666667
2021-05,MADRE DE DIOS,TAMBOPATA,40.0,0.0,1.575
2021-05,MOQUEGUA,MARISCAL NIETO,13.25,0.0,1.9
2021-05,PASCO,OXAPAMPA,60.0,0.0,2.5
2021-05,PIURA,AYABACA,31.0,0.0,0.6666666666666666
2021-05,PIURA,HUANCABAMBA,10.0,0.0,0.75
2021-05,PIURA,MORROPON,34.0,0.0,0.9
2021-05,PIURA,PAITA,4.0,0.0,1.0
2021-05,PIURA,PIURA,45.0,0.0,1.0
2021-05,PIURA,SECHURA,7.0,0.0,1.0
2021-05,PIURA,SULLANA,30.0,0.0,1.0
2021-05,PUNO,CARABAYA,2.0,0.0,0.7
2021-05,PUNO,SANDIA,12.0,0.0,0.9666666666666668
2021-05,SAN MARTIN,BELLAVISTA,29.0,0.0,0.9833333333333334
2021-05,SAN MARTIN,EL DORADO,12.0,0.0,0.5599999999999999
2021-05,SAN MARTIN,HUALLAGA,32.0,0.0,2.1166666666666667
2021-05,SAN MARTIN,LAMAS,64.0,0.0,1.0666666666666667
2021-05,SAN MARTIN,MARISCAL CACERES,31.2,0.0,1.2066666666666668
2021-05,SAN MARTIN,MOYOBAMBA,70.0,0.0,1.24
2021-05,SAN MARTIN,PICOTA,110.0,0.0,1.2
2021-05,SAN MARTIN,RIOJA,50.0,0.0,0.5
2021-05,SAN MARTIN,SAN MARTIN,175.5,0.0,1.3076923076923077
2021-05,SAN MARTIN,TOCACHE,12.0,0.0,0.5
2021-05,TUMBES,CONTRALMIRANTE VILLAR,14.0,0.0,0.88
